LOCATION,Country,TRANSACT,Transaction,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,1756292.863,E,Estimated value
AUT,Austria,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,470941.927,,
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,470941.927,,
AUT,Austria,B1_GI,Gross domestic product (income approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,470941.927,,
BEL,Belgium,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,583435.596,P,Provisional value
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,583435.596,P,Provisional value
BEL,Belgium,B1_GI,Gross domestic product (income approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,583435.596,P,Provisional value
CAN,Canada,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,2137939.22,,
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,2137939.22,,
CAN,Canada,B1_GI,Gross domestic product (income approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,2137939.22,,
CZE,Czech Republic,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,290527.551,,
CZE,Czech Republic,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,290527.551,,
CZE,Czech Republic,B1_GI,Gross domestic product (income approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,290527.551,,
DNK,Denmark,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,400167.197,,
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,400167.197,,
DNK,Denmark,B1_GI,Gross domestic product (income approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,400167.197,,
FIN,Finland,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,282896.251,,
FIN,Finland,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,282896.251,,
FIN,Finland,B1_GI,Gross domestic product (income approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,282896.251,,
FRA,France,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,2779092.237,P,Provisional value
FRA,France,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,2779092.237,P,Provisional value
FRA,France,B1_GI,Gross domestic product (income approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,2779092.237,P,Provisional value
DEU,Germany,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,4082469.491,P,Provisional value
DEU,Germany,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,4082469.491,P,Provisional value
DEU,Germany,B1_GI,Gross domestic product (income approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,4082469.491,P,Provisional value
GRC,Greece,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,219065.872,P,Provisional value
GRC,Greece,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,219065.872,P,Provisional value
GRC,Greece,B1_GI,Gross domestic product (income approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,219065.872,P,Provisional value
ISL,Iceland,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,28064.53,,
ITA,Italy,B1_GI,Gross domestic product (income approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,2049737.165,,
LUX,Luxembourg,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,81641.808,,
POL,Poland,B1_GI,Gross domestic product (income approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,688125.011,,
PRT,Portugal,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,255196.661,P,Provisional value
ESP,Spain,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,1417800.466,P,Provisional value
ESP,Spain,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,1417800.466,P,Provisional value
ESP,Spain,B1_GI,Gross domestic product (income approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,1417800.466,P,Provisional value
SWE,Sweden,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,591188.595,,
SWE,Sweden,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,591188.595,,
CHE,Switzerland,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,818426.551,P,Provisional value
CHE,Switzerland,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,818426.551,P,Provisional value
CHE,Switzerland,B1_GI,Gross domestic product (income approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,818426.551,P,Provisional value
GBR,United Kingdom,B1_GA,Gross domestic product (output approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,3089072.722,,
GBR,United Kingdom,B1_GE,Gross domestic product (expenditure approach),CXC,"Current prices, current exchange rates",2022,2022,USD,US Dollar,6,Millions,,,3089072.722,,
